"Neighborhood","CUISINE","RESTAURANT","SCORE"
"Upper East Side ","French","JACQUE'S CAFE",37
"East Midtown ","Caf/Coffee/Tea","RED MANGO",36
"East Midtown ","Japanese","TENZAN",36
"Murray Hill ","American","OPEN KITCHEN",36
"Tribeca, Soho ","Bakery","FLEET BAKERY",36
"West Midtown ","American","FABRICK BY DAVID BURKE",35
"Greenwich Village ","Thai","ROHM THAI",34
"Harlem","Chinese","NEW KIM TONG",34
"Lower East Side ","American","PIANOS",34
"Upper East Side","Indian","BRICKLANE CURRY HOUSE",34
"Chelsea Greenwich Village ","Chinese","CHINESE FAST WOK",33
"Chelsea Greenwich Village ","Caf/Coffee/Tea","JOE COFFEE SHOP",33
"Harlem","Latin Cuban Dominican Puerto Rican South  Central American","EL NUEVO AMANECER RESTAURANT",33
"East Midtown ","Pizza","LA TRATTORIA",32
"Financial District ","American","Harry's Cafe/Harry's Steak",32
"Lower East Side ","Chinese","CAROL'S BUN",32
"West Midtown ","Italian","TAVOLA",32
"East Midtown ","Caf/Coffee/Tea","GREGORY'S COFFEE",31
"Morningside Heights ","Chinese","NEW OCEAN",31
"West Midtown ","Chinese","CHINA GREEN DIM SUM RESTAURANT",31
"Chelsea Greenwich Village ","Chinese","AUNTIE GUAN'S KITCHEN 108",30
"Murray Hill ","Chinese/Japanese","CHEF 28",30
"East Harlem ","Bakery","SAVOY BAKERY",29
"Tribeca, Soho ","Chinese","KEN'S ASIAN TASTE",28
"Chelsea Greenwich Village ","American","THE CITY BAKERY",27
"East Midtown ","American","525 LEX RESTAURANT  LOUNGE",27
"East Midtown ","Mediterranean","IBIS",27
"East Midtown ","Chinese","RED STIXS",27
"Financial District, Seaport","Bakery","AUDREY BAKERY  CAFE",27
"Greenwich Village ","Sandwiches","99 MILES TO PHILLY",27
"Lower East Side ","Chinese","DELIGHT WONG RESTAURANT",27
"Lower East Side ","American","FOOLS GOLD",27
"Lower East Side ","Chinese","HOU YI HOT POT",27
"Lower East Side ","Chinese","NEW RONG HANG RESTAURANT",27
"Midtown Upper East Side ","Pizza/Italian","SALVO'S",27
"Tribeca, Soho ","Chinese","TASTY HANDPULLED NOODLES",27
"Tribeca, Soho ","Chinese","YEE LI RESTAURANT",27
"Upper East Side","American","VINUS AND MARC",27
"Upper East Side ","French","JEAN CLAUDE FRENCH BISTRO",27
"Village NoHo ","Caribbean","MISS LILY'S",27
"Washington Heights","Spanish","EL PITALLITO RESTAURANT",27
"West Midtown ","Hawaiian","POKEWORKS",27
"Chelsea Greenwich Village ","Latin Cuban Dominican Puerto Rican South  Central American","COPPELIA CUBAN LUNCHEONETTE",26
"East Greenwich Village ","Sandwiches","ABC BEER CO",26
"East Greenwich Village ","American","MOM'S PIZZA",26
"East Greenwich Village ","French","PARDON MY FRENCH",26
"East Harlem","Seafood","A TASTE OF SEA FOOD",26
"East Harlem","Latin Cuban Dominican Puerto Rican South  Central American","ANDY'S RESTAURAUNT",26
"East Midtown ","American","BREAD  BUTTER",26
"Gramercy ","Caf/Coffee/Tea","BALLOON",26
"Greenwich Village ","Japanese","KOS SUSHI",26
"Greenwich Village ","American","STILLWATER BAR  GRILL",26
"Inwood ","Spanish","LA EXCELENCIA EMPANADAS MONUMENTAL",26
"Lower East Side ","Chinese","WU'S WONTON KING",26
"Morningside Heights ","Japanese","SUSHI SUSHI",26
"Murray Hill ","Turkish","ALI BABA RESTAURANT",26
"Murray Hill ","American","LIBRETTO'S PIZZERIA",26
"Murray Hill ","American","MIKE'S DELI",26
"Tribeca, Soho ","Chinese","AMAZING 66 RESTAURANT",26
"Tribeca, Soho ","Chinese","AUGUST GATHERINGS",26
"Tribeca, Soho ","Asian","MOONCAKE FOODS",26
"Tribeca, Soho ","Chinese","ORIENTAL GARDEN RESTAURANT",26
"Tribeca, Soho ","Chinese","SHANGHAI ASIAN MANOR",26
"Tribeca, Soho ","Latin Cuban Dominican Puerto Rican South  Central American","WESTSIDE COFFEE SHOP RESTAURANT",26
"Upper East Side ","Japanese","TANOSHI BENTO",26
"Upper West Side","Caf/Coffee/Tea","THE COFFEE BEAN  TEA LEAF",26
"Upper West Side ","Asian","KUMO SUSHI",26
"West Midtown ","Indian","BOMBAY JUNCTION/PIZZA KING",26
"West Midtown ","American","CAFE R",26
"West Midtown ","Korean","NEW YORK KIMCHI",26
"West Midtown ","Thai","THAI SELECT",26
"Chelsea Greenwich Village ","Bakery","DAVIDOVICH BAKERY",25
"Chelsea Greenwich Village ","Indian","NANKING",25
"East Harlem ","Chinese","LA PRECIOSA CHINA RESTAURANT",25
"East Harlem ","Greek","MAMAGYRO",25
"East Midtown ","Asian","BARKOGI",25
"East Midtown ","Seafood","CRAVE FISH BAR",25
"East Midtown ","Delicatessen","GOURMET PARK",25
"East Midtown ","Irish","NIALL'S ON 52ND",25
"Greenwich Village ","TexMex","SAN LOCO",25
"Greenwich Village ","Indian","SOHO TIFFIN JUNCTION",25
"Greenwich Village ","Japanese","YAMA JAPANESE RESTAURANT'",25
"Inwood ","Chicken","JOHN'S FRIED CHICKEN",25
"Murray Hill ","Japanese","ICHI UMI",25
"Tribeca, Soho ","Vietnamese/Cambodian/Malaysia","NHATRANG CENTRE VIETNAM RESTAURANT",25
"Tribeca, Soho ","Chinese","WONG KEE RESTAURANT",25
"Tribeca, Soho ","Chinese","XI'AN FAMOUS FOODS",25
"Washington Heights","Caf/Coffee/Tea","X CAFFE",25
"West Greenwich Village ","Chinese","GRAND SICHUAN",25
"West Greenwich Village ","American","THE FOUR FACED LIAR",25
"West Midtown ","American","GREEN TOMATO",25
"West Midtown ","American","MADISON SQUARE TAVERN",25
"West Midtown ","Mexican","TAQUERIA TEHUITZINGO",25
"West Midtown ","American","THE AINSWORTH",25
"West Midtown ","Pizza","TWO BOOTS",25
"Chelsea Greenwich Village ","American","OLD HOMESTEAD",24
"Chelsea Greenwich Village ","Pizza","SLICE  CO BRICK OVEN PIZZA",24
"East Harlem ","Thai","ABSOLUTE THAI RESTAURANT",24
"East Harlem ","Chinese","New NYC Yoan Ming Garden",24
"Financial District ","Asian","NUM PANG SANDWICH SHOP",24
"Greenwich Village ","Pizza","CROCODILE LOUNGE",24
"Greenwich Village ","Polish","LITTLE POLAND RESTAURANT",24
"Harlem","American","JIMBO'S HAMBURGER PALACE",24
"Upper East Side ","Caf/Coffee/Tea","CAFE JAX",24
"Upper East Side ","Italian","NUMERO 28",24
"Upper West Side","American","EUROPAN CAFE",24
"Village NoHo ","Sandwiches","MELT KRAFT",24
"Washington Heights ","Latin Cuban Dominican Puerto Rican South  Central American","LOTUS CAFE",24
"West Midtown ","Thai","LARB UBOL",24
"West Midtown ","Italian","MANGIA",24
"West Midtown ","American","NIOS RESTAURANT",24
"West Midtown ","Caf/Coffee/Tea","SHERATON NEW YORK HOTEL  LINK Sheraton",24
"West Midtown ","Japanese","SUSHI FUSSION",24
"West Midtown ","Bakery","TOUS LES JOURS",24
"Chelsea Greenwich Village ","Chinese","LEGEND BAR  RESTAURANT",23
"East Greenwich Village ","Russian","RUSSIAN TURKISH BATHS",23
"East Harlem","Bagels/Pretzels","BAGEL TREE",23
"East Harlem ","Latin Cuban Dominican Puerto Rican South  Central American","JUDY'S SPANISH RESTAURANT",23
"East Harlem ","American","MS RITA'S PLACE",23
"East Midtown ","Mexican","AL HORNO LEAN MEXICAN",23
"East Midtown ","American","CITY CINEMAS 123",23
"Financial District, Seaport","Chinese","HOP SHING RESTAURANT",23
"Gramercy ","Pizza","LUNETTA PIZZA",23
"Greenwich Village ","Chinese","China Star",23
"Greenwich Village ","Chinese","THE COTTAGE",23
"Greenwich Village ","American","UNIVERSITY MARKET PLACE",23
"Lower East Side ","American","BLACK TREE",23
"Lower East Side ","French","LES CREPES  TAQUERIA",23
"Midtown Upper East Side ","Asian","ANGKOR CAMBODIAN BISTRO",23
"Village NoHo ","Eastern European","CAFE SELECT",23
"Washington Heights","American","SCOOP CAFE",23
"West Greenwich Village ","Caf/Coffee/Tea","VIVI BUBBLE TEA",23
"West Midtown ","Indian","AKBAR PALACE",23
"West Midtown ","Mediterranean","BRASSERIE ATHENEE",23
"West Midtown ","Latin Cuban Dominican Puerto Rican South  Central American","CAFE NUNEZ",23
"West Midtown ","Sandwiches/Salads/Mixed Buffet","EUROPAN BAKERY CAFE",23
"West Midtown ","Chinese","MING'S RESTAURANT",23
"West Midtown ","American","PARK LANE HOTEL",23
"West Midtown ","Thai","PURE THAI RESTAURANT",23
"East Greenwich Village ","American","DREXLER'S",22
"East Midtown ","Middle Eastern","AL BUSTAN RESTAURANT",22
"East Midtown ","Mexican","CHOZA TAQUERIA",22
"East Midtown ","Chinese","EAST PALACE",22
"Financial District, Seaport","Pizza","ROSELLA'S PIZZERIA",22
"Greenwich Village ","Thai","REPUBLIC RESTAURANT",22
"Harlem","Indian","CLOVE INDIAN RESTAURANT BAR",22
"Harlem","Indian","RED CHILLI INDIAN CAFE",22
"Lower East Side ","Bakery","NEW GREAT BAKERY",22
"Morningside Heights ","American","BRAD'S CAFE",22
"Morningside Heights ","Delicatessen","FAMILY FIRST DELI GROCERY",22
"Morningside Heights ","Sandwiches/Salads/Mixed Buffet","SUB CONSCIOUS",22
"Murray Hill ","Korean","KYOCHON",22
"Murray Hill ","French","ROSE BAKERY",22
"Tribeca, Soho ","American","THE CUPPING ROOM",22
"Upper East Side","American","MANNY'S ON SECOND",22
"Village NoHo ","American","BAR FISH BISTRO",22
"Village NoHo ","Vegetarian","BY CHLOE",22
"Washington Heights","Soups  Sandwiches","FRESH EXPRESS",22
"West Midtown ","Delicatessen","33 Gourmet",22
"West Midtown ","Delicatessen","ANGELA'S DELI",22
"West Midtown ","Caf/Coffee/Tea","KAHVA",22
"West Midtown ","Chinese","LILI'S 57",22
"West Midtown ","Spanish","MESON SEVILLA RESTAURANT",22
"Chelsea Greenwich Village ","Italian","BASTA PASTA RESTAURANT",21
"Chelsea Greenwich Village ","Spanish","SPAIN RESTAURANT  BAR",21
"East Harlem ","Chicken","TEXAS CHICKEN  BURGERS",21
"East Midtown ","Delicatessen","BISTRO MARKETPLACE",21
"Financial District, Seaport","Japanese","OKA SUSHI",21
"Gramercy ","Brazilian","BRAZILIA CAFE",21
"Greenwich Village ","American","Elan",21
"Greenwich Village ","American","JOE JR RESTAURANT",21
"Greenwich Village ","Thai","KIIN THAI EATERY",21
"Inwood ","Spanish","EL ANAFE EXPRESS",21
"Midtown Upper East Side ","Japanese","AMBER",21
"Morningside Heights ","African","CHEZ ALAIN RESTAURAUNT",21
"Murray Hill ","Juice Smoothies Fruit Salads","FUEL GRILL AND JUICE BAR",21
"Murray Hill ","Salads","JUST SALAD",21
"Tribeca, Soho ","Chinese","CHA CHAN TANG",21
"Tribeca, Soho ","Chinese","GRAND BO KY RESTAURANT",21
"Tribeca, Soho ","Chinese","RED EGG",21
"Tribeca, Soho ","American","WEATHER UP",21
"Upper East Side ","American","2ND AVE BLUE 9 BURGER",21
"Upper East Side ","American","5 NAPKIN",21
"Upper East Side ","American","EAST SIDE BILLARD",21
"Washington Heights","Spanish","EMPANADAS MONUMENTAL",21
"Washington Heights","American","TASZO COFFEE",21
"Washington Heights","Japanese","YU SUSHI",21
"West Midtown ","Latin Cuban Dominican Puerto Rican South  Central American","CALLE DAO",21
"West Midtown ","Korean","GAONNURI",21
"Chelsea Greenwich Village ","American","CHELSEA SQUARE RESTAURANT",20
"Chelsea Greenwich Village ","American","EAST OF EIGHTH",20
"East Harlem","Latin Cuban Dominican Puerto Rican South  Central American","KYLE RESTAURANT",20
"East Midtown ","American","BEEKMAN BAR  BOOKS",20
"East Midtown ","Mexican","SINIGUAL RESTAURANT",20
"East Midtown ","Mexican","TRES CARNES",20
"Financial District ","Pizza/Italian","JUSTINO'S PIZZERIA",20
"Greenwich Village ","Italian","AROMA",20
"Greenwich Village ","Mexican","EL CANTINERO",20
"Greenwich Village ","Chinese","HOT KITCHEN",20
"Greenwich Village ","Caf/Coffee/Tea","PERIDANCE CAPEZIO CENTER CAFE",20
"Harlem","Spanish","LA PICARDIA DE BROADWAY",20
"Harlem","French","PATISSERIE DES AMBASSADES",20
"Lower East Side ","Japanese","GEN RAMEN HOUSE",20
"Lower East Side ","Italian","THE MEATBALL SHOP",20
"Lower East Side ","American","WOOLWORTH TOWER KITCHEN",20
"Midtown Upper East Side ","American","COPPER KETTLE KITCHEN",20
"Morningside Heights ","Seafood","PAPA FISH MARKET",20
"Murray Hill ","Indian","CURRY EXPRESS",20
"Murray Hill ","Japanese","MISHIMA RESTAURANT",20
"Upper East Side","Mediterranean","AU JUS",20
"Upper East Side","American","The Milton",20
"Upper East Side ","Japanese","HANABI",20
"Upper East Side ","Japanese","YUKA RESTAURANT",20
"Upper West Side","Japanese","AMAZE",20
"Upper West Side","American","JOE'S",20
"Upper West Side","Chinese","LEGEND UPPER WEST",20
"Upper West Side","Peruvian","PIO PIO",20
"Washington Heights ","Latin Cuban Dominican Puerto Rican South  Central American","BURGOS RESTAURANT",20
"West Midtown ","Delicatessen","FRESHDAY",20
"West Midtown ","Irish","MOLLOY'S IRISH PUB",20
"West Midtown ","Japanese","SHABU SHABU KOBE",20
"West Midtown ","American","THE GREEK CORNER",20
"Chelsea Greenwich Village ","Japanese","CHO CHO SAN JAPANESE RESTAURANT",19
"Chelsea Greenwich Village ","Chinese","GOLDEN WOK CHINESE RESTAURANT",19
"Chelsea Greenwich Village ","Ice Cream Gelato Yogurt Ices","L'ARTE DEL GELATO",19
"Chelsea Greenwich Village ","Sandwiches","SUBWAY",19
"East Greenwich Village ","French","RACLETTE",19
"East Midtown ","American","BLAKE AND TODD",19
"East Midtown ","American","FIRESIDE",19
"Financial District, Seaport","Thai","AROY DEE THAI KITCHEN",19
"Greenwich Village ","Japanese","MISOYA",19
"Greenwich Village ","Pizza","STROMBOLI PIZZA",19
"Greenwich Village ","Sandwiches","SUBWAY",19
"Harlem","American","JUMBOS HAMBURGER",19
"Harlem","Spanish","LOFT 142",19
"Harlem","Chicken","MAMA'S FRIED CHICKEN",19
"Lower East Side ","Chinese","CHANGLE XIN FAN ZHUANG",19
"Lower East Side ","Italian","GOODFELLA'S BRICK OVEN PIZZA",19
"Lower East Side ","Chinese","J J NOODLE",19
"Lower East Side ","Bakery","SUN BAKERY",19
"Murray Hill ","Japanese","ABECA SUSHI",19
"Murray Hill ","TexMex","BABY BO'S BURRITOS",19
"Murray Hill ","Caf/Coffee/Tea","KEKO CAFE",19
"Murray Hill ","American","MARCHE MADISON",19
"Tribeca, Soho ","Chinese","MINI EXPRESS",19
"Upper East Side","Thai","ENTHAICE",19
"Upper East Side ","American","SANT AMBROEUS CAFE AT SOTHEBY'S",19
"Upper West Side","Latin Cuban Dominican Puerto Rican South  Central American","EL REY DE LA CARIDAD",19
"Upper West Side ","Delicatessen","ALBERTINA'S FINE FOODS",19
"Washington Heights","Mexican","DON PANCHITO RESTAURANT",19
"West Midtown ","Korean","POCHA 32",19
"West Midtown ","Asian","TOPAZ NOODLE BAR",19
"Chelsea Greenwich Village ","American","COLICCHIO  SONS",18
"Chelsea Greenwich Village ","Italian","INTERMEZZO",18
"East Harlem","Mexican","PIPO'S RESTAURANT",18
"East Harlem ","Chinese","STEAK AND HOAGIES",18
"East Harlem ","Thai","THAI WOK",18
"East Midtown ","Delicatessen","765 FOOD MARKET",18
"East Midtown ","American","SERENDIPITY 3",18
"Financial District, Seaport","Bakery","GREAT TASTE BAKERY",18
"Gramercy ","Pizza","GRIMALDI'S",18
"Gramercy ","Indian","JUNOON",18
"Greenwich Village ","Chinese","RED HOUSE",18
"Greenwich Village ","Thai","THAI TERMINAL",18
"Harlem","Pizza","MAMA TINA'S PIZZA",18
"Inwood ","Chinese","EMPIRE KITCHEN",18
"Inwood ","Mexican","PAPASITO MEXICAN GRILL",18
"Lower East Side ","Japanese","BAR GOTO",18
"Lower East Side ","Bakery","NEW WONG WAH BAKERY",18
"Midtown Upper East Side ","Chicken","CHIRPING CHICKEN",18
"Murray Hill ","American","EDDY'S EATS",18
"Murray Hill ","Pizza/Italian","GARLIC PIZZA BAR",18
"Tribeca, Soho ","American","JUNIOR'S FRESH KITCHEN",18
"Upper East Side ","Irish","MURPHY'S LAW",18
"Village NoHo ","Pizza","ARTICHOKE BASILLE'S PIZZA  BAR",18
"Village NoHo ","American","ROGUE AND CANON",18
"Village NoHo ","Caf/Coffee/Tea","THE COFFEE BEAN TEA  LEAF",18
"Washington Heights","Chinese","KING HOUSE",18
"Washington Heights","Latin Cuban Dominican Puerto Rican South  Central American","RESTAURANTE LA LIBERTAD",18
"West Greenwich Village ","French","L'AILE OU LA CUISSE L'AOC",18
"West Midtown ","American","BRGR",18
"West Midtown ","American","HUDSON COMMON",18
"West Midtown ","American","JOHNNY UTAHS",18
"West Midtown ","Chicken","LE BON CHOIX",18
"Chelsea Greenwich Village ","Pizza","ROSA'S PIZZA",17
"Chelsea Greenwich Village ","American","WESTVILLE",17
"East Greenwich Village ","American","THE SPOTTED OWL",17
"East Harlem ","Latin Cuban Dominican Puerto Rican South  Central American","EL NUEVO CARIBENO RESTAURANT",17
"East Midtown ","Caf/Coffee/Tea","DAG'S THE PATIO",17
"East Midtown ","Irish","EAMONN'S BAR AND GRILL",17
"East Midtown ","American","GOURMET 45",17
"East Midtown ","Japanese","HINATA RAMEN",17
"Financial District","Pizza","DONA BELLA  PIZZA",17
"Greenwich Village ","Mediterranean","BITE",17
"Greenwich Village ","Chilean","OLD TOWN BAR  RESTAURANT",17
"Greenwich Village ","Hamburgers","PAULS DA BURGER JOINT",17
"Harlem ","Seafood","HOUSE OF SEAFOOD EXPRESS",17
"Inwood ","American","CAPITOL RESTAURANT",17
"Midtown Upper East Side ","Caf/Coffee/Tea","STARBUCKS COFFEE",17
"Murray Hill ","American","MOONSTRUCK",17
"Tribeca, Soho ","American","GENUINE SUPERETTE",17
"Tribeca, Soho ","Chinese","XO RESTAURANT",17
"Upper East Side","Italian","PINOCCHIO RISTORANTE",17
"Upper East Side ","American","ALICE'S TEA CUP",17
"Upper East Side ","Japanese","KO SUSHI",17
"Upper West Side","Chinese/Cuban","LA CARIDAD 78",17
"Upper West Side","Japanese","MATSU JAPANESE CUISINE",17
"Upper West Side ","Indian","INDIGO INDIAN BISTRO",17
"Village NoHo ","Italian","EPISTROPHY CAFE",17
"Washington Heights","Spanish","EMPANADAS MONUMENTAL",17
"Washington Heights","Tapas","MANOLO TAPAS RESTAURANT",17
"West Greenwich Village ","American","55 BAR",17
"West Greenwich Village ","Japanese","SUSHI WEST",17
"West Midtown ","Delicatessen","AMERICA GOURMET FOOD",17
"West Midtown ","Jewish/Kosher","CAFE CLASSICO",17
"West Midtown ","Chinese","JOE'S SHANGHAI RESTAURANT",17
"West Midtown ","Korean","MARU",17
"West Midtown ","Thai","SIRI THAI",17
"West Midtown ","American","SPEEDY DELI",17
"West Midtown ","Tapas","THE GASTRO BAR",17
"West Midtown ","Thai","YUM YUM BANGKOK",17
"East Greenwich Village ","Irish","KELLY'S",16
"East Harlem","Chinese","New Wok Express",16
"East Midtown ","American","CAFE OLYMPIA",16
"East Midtown ","Italian","TWO BOOTS",16
"Financial District, Seaport","Delicatessen","CAFE TOMATO",16
"Gramercy ","Japanese","ABUMI SUSHI",16
"Greenwich Village ","Latin Cuban Dominican Puerto Rican South  Central American","CONFESSIONAL",16
"Greenwich Village ","American","GRASSROOT TAVERN",16
"Harlem","African","KEUR COUMBA RESTAURANT",16
"Harlem","Chicken","KRISPY KRUNCHY CHICKEN",16
"Lower East Side ","Chinese","YI ZHANG FISHBALL  SNACKS RESTAURANT",16
"Lower East Side ","Asian","ZEST",16
"Murray Hill ","American","WHISKEY REBEL",16
"Upper West Side","Chinese","KING FOOD",16
"Village NoHo ","Chinese","LEGEND WEST VILLAGE",16
"Washington Heights ","Latin Cuban Dominican Puerto Rican South  Central American","LUX BAR  GRILL",16
"Washington Heights ","Chinese","PANDA HOUSE",16
"Washington Heights ","Sandwiches","SUBWAY",16
"West Greenwich Village ","Asian","ARBOR BISTRO",16
"West Greenwich Village ","Mediterranean","JACK'S WIFE FREDA",16
"West Greenwich Village ","Italian","PALMA",16
"West Midtown ","Chinese","ASIAN TIME EATERY",16
"West Midtown ","Delicatessen","BLACKSMITH CAFE  DELICATESSEN",16
"Chelsea Greenwich Village ","Mexican","TAQUERIA DIANA",15
"East Midtown ","Bakery","BUTTERCUP BAKE SHOP",15
"East Midtown ","Chinese","HOT KITCHEN",15
"East Midtown ","American","TOASTIES",15
"Financial District ","Italian","FINO RISTORANTE",15
"Greenwich Village ","Caf/Coffee/Tea","GONG CHA",15
"Greenwich Village ","American","KARMA",15
"Greenwich Village ","Japanese","YAKINIKU WEST RESTAURANT",15
"Harlem","Caribbean","FREDDY'S SOUL CARIBBEAN RESTAURANT CORP",15
"Midtown Upper East Side ","Asian","HUNAN DELIGHT",15
"Midtown Upper East Side ","Thai","THE NUAA",15
"Murray Hill ","Pizza","PASTAFINA PIZZA",15
"Murray Hill ","Japanese","SABURI JUN RESTAURANT",15
"Upper East Side ","Mediterranean","PERSEPOLIS",15
"West Greenwich Village ","Italian","GALLO NERO",15
"West Midtown ","American","BXL CAFE",15
"West Midtown ","American","GUY'S AMERICAN KITCHEN  BAR",15
"Chelsea Greenwich Village ","American","NORTH VILLAGE DELI",14
"East Greenwich Village ","French","KING BEE",14
"East Harlem ","Juice Smoothies Fruit Salads","JOOSED BY LLOYD'S",14
"East Harlem ","Pizza","MJ PIZZA",14
"East Midtown ","American","ASHLEY'S FINE FOODS",14
"Financial District ","Chinese","NEW GOLDEN CHOPSTICKS",14
"Gramercy ","French","ALMOND",14
"Gramercy ","American","LUCKY CHICKEN",14
"Greenwich Village ","Chicken","THE NUGGET SPOT",14
"Harlem","Middle Eastern","FALAFEL TARBOOSH",14
"Inwood ","American","INDIAN ROAD CAFE",14
"Inwood ","Pizza","NOEL PIZZA",14
"Lower East Side ","Thai","ONE MORE THAI",14
"Midtown Upper East Side ","Middle Eastern","CASABLANCA GRILL",14
"Midtown Upper East Side ","Italian","IL VAGABONDO RESTAURANT",14
"Murray Hill ","American","SCOTTY'S DINER",14
"Murray Hill ","TexMex","TACO EXPRESS",14
"Upper East Side ","American","THE YORK SOCIAL",14
"Village NoHo ","French","BO CA PHE",14
"Washington Heights","Spanish","EL PRESIDENTE  RESTAURANT",14
"West Greenwich Village ","Asian","FATTY CRAB",14
"West Greenwich Village ","Thai","PINTO",14
"West Midtown ","American","BEAUTIQUE",14
"West Midtown ","Asian","HOA CAFE",14
"West Midtown ","Middle Eastern","PARS GRILL HOUSE",14
"West Midtown ","Jewish/Kosher","PITOPIA",14
"West Midtown ","American","SUITE 36/PULP",14
"West Midtown ","Pizza","THE BEST PIZZA",14
"West Midtown ","Indian","THE KATI ROLL COMPANY",14
"Chelsea Greenwich Village ","American","BLUE HILL RESTAURANT",13
"Chelsea Greenwich Village ","Sandwiches","DAIRY QUEEN GRILL  CHILL",13
"Chelsea Greenwich Village ","Mexican","GREAT BURRITO",13
"Chelsea Greenwich Village ","Asian","TAO",13
"Chelsea Greenwich Village ","American","THE CROOKED KNIFE",13
"East Greenwich Village ","Middle Eastern","HAYATY",13
"East Greenwich Village ","American","OVAL CAFE",13
"East Harlem","Latin Cuban Dominican Puerto Rican South  Central American","COLINA BAR",13
"East Harlem","American","UPTOWN JUICE  VEG",13
"East Harlem ","American","BM DELI  GROCERY",13
"East Harlem ","Mexican","EL PASO RESTAURANTE MEXICANO",13
"East Harlem ","Latin Cuban Dominican Puerto Rican South  Central American","LA ISLA RESTAURANT",13
"East Midtown ","Asian","AMAZE",13
"East Midtown ","Caf/Coffee/Tea","BROOKLYN DIAMOND COFFEE",13
"East Midtown ","American","BULL  BEAR",13
"East Midtown ","Delicatessen","CAFE ALICE",13
"East Midtown ","Indian","INDIGO INDIAN CUISINE",13
"East Midtown ","American","LCL BAR AND KITCHEN",13
"East Midtown ","American","LEXINGTON BRASS",13
"East Midtown ","Caf/Coffee/Tea","MANHATTAN ESPRESSO",13
"East Midtown ","Jewish/Kosher","MIKE'S BISTRO",13
"East Midtown ","Japanese","NARE SUSHI",13
"East Midtown ","Chinese","SHUN LEE PALACE RESTAURANT",13
"East Midtown ","Mediterranean","SIDO GOURMET",13
"East Midtown ","Japanese","SUSHIANN",13
"Financial District","Delicatessen","STAGE DOOR DELI",13
"Financial District","Juice Smoothies Fruit Salads","WICKED JUICE  KITCHEN",13
"Financial District ","Sandwiches","PIANETA ROMAGNA",13
"Financial District ","Pizza","UNDERGROUND PIZZA",13
"Financial District, Seaport","American","STAMINA GRILL  JUICE BAR",13
"Gramercy ","Chinese","CHINA KING",13
"Gramercy ","Thai","LITTLE BASIL THAI",13
"Gramercy ","Irish","MC SWIGGANS",13
"Gramercy ","Hamburgers","NEW YORK BURGER CO",13
"Gramercy ","Hawaiian","PARK AVENUE WINTER",13
"Greenwich Village ","American","BARCADE",13
"Greenwich Village ","Asian","HAWKERS",13
"Greenwich Village ","Latin Cuban Dominican Puerto Rican South  Central American","MID WINTER KITCHEN",13
"Greenwich Village ","Asian","RAKU",13
"Greenwich Village ","Mexican","TORTARIA",13
"Greenwich Village ","Chinese","VANESSA'S DUMPLING",13
"Harlem","Bakery","LEE LEE'S BAKED GOODS",13
"Harlem","Pizza","WHOLESOME GARDEN PIZZA",13
"Harlem","Chicken","WONDER FRIED CHICKEN",13
"Harlem ","American","MCDONALD'S",13
"Inwood ","Latin Cuban Dominican Puerto Rican South  Central American","CLOISTERS GRILL",13
"Inwood ","Mexican","GUADALUPE BAR AND GRILL",13
"Inwood ","American","THE PARK VIEW",13
